Timestamp;TimeSeconds;PosX;PosY;PosZ
00:00,000;0,00;4,437011;1,62148;-5,861409
00:00,020;0,02;4,437011;1,62148;-5,861409
00:00,096;0,10;4,437011;1,62148;-5,861409
00:00,115;0,12;4,437011;1,62148;-5,861409
00:00,124;0,12;4,437011;1,62148;-5,861409
00:00,136;0,14;4,433;1,62148;-5,858
00:00,152;0,15;4,418;1,62148;-5,853
00:00,162;0,16;4,4;1,62148;-5,844
00:00,174;0,17;4,375;1,62148;-5,83
00:00,184;0,18;4,366;1,62148;-5,826
00:00,193;0,19;4,351;1,62148;-5,816
00:00,202;0,20;4,339;1,62148;-5,809
00:00,211;0,21;4,33;1,62148;-5,805
00:00,219;0,22;4,304;1,62148;-5,789
00:00,228;0,23;4,294;1,62148;-5,781
00:00,236;0,24;4,28;1,62148;-5,772
00:00,245;0,25;4,27;1,62148;-5,764
00:00,253;0,25;4,261;1,62148;-5,756
00:00,261;0,26;4,252;1,62148;-5,748
00:00,270;0,27;4,243;1,62148;-5,74
00:00,278;0,28;4,234;1,62148;-5,732
00:00,287;0,29;4,225;1,62148;-5,725
00:00,297;0,30;4,216;1,62148;-5,712
00:00,306;0,31;4,212;1,62148;-5,705
00:00,315;0,31;4,212;1,62148;-5,699
00:00,326;0,33;4,206;1,62148;-5,683
00:00,335;0,34;4,206;1,62148;-5,677
00:00,344;0,34;4,207;1,62148;-5,67
00:00,353;0,35;4,207;1,62148;-5,664
00:00,361;0,36;4,207;1,62148;-5,653
00:00,370;0,37;4,211;1,62148;-5,636
00:00,378;0,38;4,21;1,62148;-5,627
00:00,387;0,39;4,211;1,62148;-5,62
00:00,397;0,40;4,215;1,62148;-5,615
00:00,405;0,41;4,216;1,62148;-5,613
00:00,415;0,41;4,222;1,62148;-5,606
00:00,424;0,42;4,223;1,62148;-5,604
00:00,433;0,43;4,225;1,62148;-5,603
00:00,441;0,44;4,229;1,62148;-5,603
00:00,449;0,45;4,229;1,62148;-5,603
00:00,457;0,46;4,237;1,62148;-5,604
00:00,466;0,47;4,244;1,62148;-5,607
00:00,478;0,48;4,268;1,62148;-5,611
00:00,486;0,49;4,286;1,62148;-5,619
00:00,495;0,50;4,306;1,62148;-5,625
00:00,505;0,51;4,34;1,62148;-5,638
00:00,516;0,52;4,362;1,62148;-5,649
00:00,527;0,53;4,404;1,62148;-5,67
00:00,538;0,54;4,413;1,62148;-5,674
00:00,547;0,55;4,436;1,62148;-5,687
00:00,558;0,56;4,47;1,62148;-5,711
00:00,568;0,57;4,493;1,62148;-5,728
00:00,577;0,58;4,517;1,62148;-5,745
00:00,587;0,59;4,539;1,62148;-5,766
00:00,597;0,60;4,551;1,62148;-5,785
00:00,606;0,61;4,558;1,62148;-5,793
00:00,616;0,62;4,562;1,62148;-5,805
00:00,630;0,63;4,563;1,62148;-5,829
00:00,641;0,64;4,562;1,62148;-5,849
00:00,652;0,65;4,561;1,62148;-5,858
00:00,663;0,66;4,549;1,62148;-5,873
00:00,674;0,67;4,546;1,62148;-5,877
00:00,684;0,68;4,544;1,62148;-5,88
00:00,694;0,69;4,532;1,62148;-5,877
00:00,704;0,70;4,52;1,62148;-5,874
00:00,713;0,71;4,51;1,62148;-5,87
00:00,722;0,72;4,465;1,62148;-5,851
00:00,730;0,73;4,465;1,62148;-5,851
00:00,739;0,74;4,385;1,62148;-5,809
00:00,748;0,75;4,338;1,62148;-5,789
00:00,759;0,76;4,294;1,62148;-5,768
00:00,768;0,77;4,248;1,62148;-5,747
00:00,781;0,78;4,222;1,62148;-5,734
00:00,791;0,79;4,192;1,62148;-5,723
00:00,801;0,80;4,187;1,62148;-5,718
00:00,810;0,81;4,187;1,62148;-5,718
00:00,820;0,82;4,184;1,62148;-5,716
00:00,829;0,83;4,184;1,62148;-5,716
00:00,838;0,84;4,184;1,62148;-5,716
00:00,848;0,85;4,181;1,62148;-5,714
00:00,859;0,86;4,183;1,62148;-5,712
00:00,876;0,88;4,191;1,62148;-5,713
00:00,885;0,88;4,191;1,62148;-5,713
00:00,895;0,90;4,191;1,62148;-5,713
00:00,906;0,91;4,191;1,62148;-5,713
00:00,917;0,92;4,191;1,62148;-5,713
00:00,926;0,93;4,191;1,62148;-5,713
00:00,939;0,94;4,191;1,62148;-5,713
00:00,949;0,95;4,191;1,62148;-5,713
00:00,959;0,96;4,191;1,62148;-5,713
00:00,968;0,97;4,191;1,62148;-5,713
00:00,978;0,98;4,191;1,62148;-5,713
00:00,989;0,99;4,191;1,62148;-5,713
00:00,999;1,00;4,191;1,62148;-5,713
00:01,009;1,01;4,191;1,62148;-5,713
00:01,019;1,02;4,191;1,62148;-5,713
00:01,030;1,03;4,191;1,62148;-5,713
00:01,041;1,04;4,191;1,62148;-5,713
00:01,052;1,05;4,191;1,62148;-5,713
00:01,062;1,06;4,191;1,62148;-5,713
00:01,073;1,07;4,191;1,62148;-5,713
00:01,082;1,08;4,191;1,62148;-5,713
00:01,107;1,11;4,191;1,62148;-5,713
00:01,118;1,12;4,191;1,62148;-5,713
00:01,128;1,13;4,191;1,62148;-5,713
00:01,139;1,14;4,191;1,62148;-5,713
00:01,150;1,15;4,191;1,62148;-5,713
00:01,162;1,16;4,191;1,62148;-5,713
00:01,174;1,17;4,191;1,62148;-5,713
00:01,186;1,19;4,191;1,62148;-5,713
00:01,199;1,20;4,191;1,62148;-5,713
00:01,210;1,21;4,191;1,62148;-5,713
00:01,220;1,22;4,191;1,62148;-5,713
00:01,232;1,23;4,191;1,62148;-5,713
00:01,243;1,24;4,191;1,62148;-5,713
00:01,253;1,25;4,191;1,62148;-5,713
00:01,265;1,27;4,191;1,62148;-5,713
00:01,276;1,28;4,191;1,62148;-5,713
00:01,286;1,29;4,191;1,62148;-5,713
00:01,296;1,30;4,191;1,62148;-5,713
00:01,306;1,31;4,191;1,62148;-5,713
00:01,316;1,32;4,191;1,62148;-5,713
00:01,327;1,33;4,191;1,62148;-5,713
00:01,338;1,34;4,191;1,62148;-5,713
00:01,348;1,35;4,191;1,62148;-5,713
00:01,359;1,36;4,191;1,62148;-5,713
00:01,369;1,37;4,191;1,62148;-5,713
00:01,379;1,38;4,191;1,62148;-5,713
00:01,390;1,39;4,191;1,62148;-5,713
00:01,403;1,40;4,191;1,62148;-5,713
00:01,415;1,42;4,191;1,62148;-5,713
00:01,427;1,43;4,191;1,62148;-5,713
00:01,438;1,44;4,191;1,62148;-5,713
00:01,447;1,45;4,191;1,62148;-5,713
00:01,458;1,46;4,191;1,62148;-5,713
00:01,466;1,47;4,191;1,62148;-5,713
00:01,475;1,47;4,191;1,62148;-5,713
00:01,484;1,48;4,191;1,62148;-5,713
00:01,493;1,49;4,191;1,62148;-5,713
00:01,502;1,50;4,191;1,62148;-5,713
00:01,510;1,51;4,191;1,62148;-5,713
00:01,519;1,52;4,191;1,62148;-5,713
00:01,527;1,53;4,191;1,62148;-5,713
00:01,536;1,54;4,191;1,62148;-5,713
00:01,544;1,54;4,191;1,62148;-5,713
00:01,553;1,55;4,191;1,62148;-5,713
00:01,561;1,56;4,191;1,62148;-5,713
00:01,570;1,57;4,191;1,62148;-5,713
00:01,585;1,59;4,191;1,62148;-5,713
00:01,596;1,60;4,191;1,62148;-5,713
00:01,607;1,61;4,191;1,62148;-5,713
00:01,615;1,62;4,191;1,62148;-5,713
00:01,624;1,62;4,191;1,62148;-5,713
00:01,633;1,63;4,191;1,62148;-5,713
00:01,641;1,64;4,191;1,62148;-5,713
00:01,649;1,65;4,191;1,62148;-5,713
00:01,658;1,66;4,191;1,62148;-5,713
00:01,666;1,67;4,191;1,62148;-5,713
00:01,680;1,68;4,191;1,62148;-5,713
